date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-11-14 18:36:14,AlekzanderFrost,,0,1,1,"I'm fooling myself if I think I can't support a Democratic candidate in the general for President just because I didn't like them in the primary. Still very much 4 Klobuchar but I'll back any nominee over Trump. My healthcare & that of millions of others depends on it.",,,,1195047806307749888,https://twitter.com/AlekzanderFrost/status/1195047806307749888
2019-11-14 18:34:17,SuperheroCLH,mattboydsmith,0,0,0,"The [checks notes] 18th Democratic candidate running for president",,,,1195047316752760832,https://twitter.com/SuperheroCLH/status/1195047316752760832
2019-11-14 18:31:08,CNNBusiness,,1,6,10,"The Senator and Democratic candidate for president criticized Goldman Sachs' response to claims that it discriminates against women who apply for the Apple Card by giving them far lower credit limits. Goldman Sachs is the card's issuer https://cnn.it/32MQvZt",,,,1195046523773558785,https://twitter.com/CNNBusiness/status/1195046523773558785
2019-11-14 18:10:03,BrowneRicky,RepAdamSchiff,0,0,0,"History books will record the first ever Impeachment calls 1 day after a Duly Elected President made history over the Democratic Candidate Hillary Clinton, her corrupt Election coverup by corrupt FBI tops, Mueller report, your 3 years of I have evidence of Collusion you stated.!",,,,1195041215609102336,https://twitter.com/BrowneRicky/status/1195041215609102336
2019-11-14 17:49:08,andrew_siva,,2,7,20,"every democratic candidate running for president who’s 70+ years old should be asked what they did to fight for the election of shirley chisholm & if they supported her in ‘72 (and if not, they have some explaining to do...)",,,,1195035953276112896,https://twitter.com/andrew_siva/status/1195035953276112896
2019-11-14 17:44:16,Newsenm,,0,0,0,"Former Goldman Sachs CEO Lloyd Blankfein took a swipe at Democratic presidential candidate Elizabeth Warren, appearing to borrow President Trump's attack line based on her claims of Native American heritage. https://www.enmnews.com/2019/11/14/maybe-tribalism-is-just-in-her-dna-billionaire-former-goldman-sachs-ceo-echoes-trump-attack-line-against-warren/ …",,,,1195034727968886784,https://twitter.com/Newsenm/status/1195034727968886784
2019-11-14 17:44:03,voxdotcom,,7,9,20,"Another day, another 2020 Democratic presidential candidate. Former Massachusetts Gov. @DevalPatrick is running for president: https://bit.ly/374IORN pic.twitter.com/j5aeZHBxJM",,@DevalPatrick,,1195034672725741568,https://twitter.com/voxdotcom/status/1195034672725741568
2019-11-14 17:13:07,Jen31731920,jason_howerton,0,0,0,"Nancy, this impeachment IS political and is being done to benefit the Democrats and their supporters. ""Americans"" elected Donald Trump as President, not the Democratic candidate Hillary Clinton. So you are doing this to regain power and for Democrat Americans. It WILL fail.",,,,1195026888290373635,https://twitter.com/Jen31731920/status/1195026888290373635
2019-11-14 17:05:38,TomShannon1990,,1,0,0,"My proposal for gun control shall NOT be Orwellian! It shall conform to the US Constitution and shall NOT impede on First Amendment rights, at least! If a Democratic candidate seeks to undermine the Constitution like President Trump has, feel free not to vote for them in 2020.",,,,1195025007090524160,https://twitter.com/TomShannon1990/status/1195025007090524160
2019-11-14 16:59:26,prof_smartass,prof_smartass,0,0,0,"@ewarren @BernieSanders @davidsirota Just once, I'd like to hear a Democratic candidate asked which president they admired & NOT have them respond ""Ronald Reagan."" FDR saved us from the Great Depression & fought (rather than backed) fascists. https://twitter.com/prof_smartass/status/1195003164623134720 …",,@ewarren @BernieSanders @davidsirota,,1195023445647478785,https://twitter.com/prof_smartass/status/1195023445647478785
2019-11-14 16:51:26,HagerWBZ,,10,3,5,"Deval Patrick says he spoke with fellow democratic candidate for president Sen. Elizabeth Warren last night. “It was kind of a hard conversation for both of us...I’m incredibly fond of her.” #wbzpic.twitter.com/WGvM9AzpX0",,,#wbzpic,1195021432285286410,https://twitter.com/HagerWBZ/status/1195021432285286410
2019-11-14 16:46:45,grateful4sun,EWErickson,0,0,0,"So you will be good with a Democratic president doing this against a Republican candidate in the future, right?",,,,1195020253400633344,https://twitter.com/grateful4sun/status/1195020253400633344
2019-11-14 16:40:22,DogLovinBear,LarryJo12756697,0,0,0,"Mittens Romney was a founding partner of Bain Capital. GREAT background for a Democratic candidate for president",,,,1195018647087075330,https://twitter.com/DogLovinBear/status/1195018647087075330
2019-11-14 16:16:32,BlackHillsKen,JamesGreiff,0,0,0,"“... in arguing against impeachment, Republicans undermine Trump's case for re-election“ says the newspaper owned by a Democratic candidate to take the President’s job! #Objective?",,,#Objective,1195012647957258240,https://twitter.com/BlackHillsKen/status/1195012647957258240
