favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
69,SocialFlow,Secretary of State Mike Pompeo fails to meet House subpoena deadline to produce Ukraine documents… https://t.co/qSIGbA2aDO,,False,Sat Oct 05 20:30:06 +0000 2019,47,1180580947848093699
40,SocialFlow,NEW: Judge rejects House Democrats' request to fast-track Trump tax return case https://t.co/kMDf09v9Gl https://t.co/brdRziNp7n,,False,Thu Aug 29 22:12:48 +0000 2019,56,1167198439664496641
82,SocialFlow,"Following a Twitter spat, Sen. Ted Cruz and actress Alyssa Milano will meet next week to discuss gun violence… https://t.co/2bPW83PgS1",,False,Sat Sep 07 05:33:03 +0000 2019,28,1170208337721516032
31,SocialFlow,This week in the Trump impeachment inquiry went out with a bang. Here's what's next | Analysis… https://t.co/57W0RhIMpj,,False,Sat Nov 02 14:28:07 +0000 2019,10,1190636711400890370
528,TweetDeck,"GOP congressman to former ambassador: ""You're tough as nails and smart at hell"" https://t.co/mzvg7Ha9uQ https://t.co/RyttBBA5UC",,False,Fri Nov 15 19:31:21 +0000 2019,126,1195424064002809858
60,SocialFlow,Bernie Sanders announces massive $25.3 million third quarter fundraising haul https://t.co/GWTO8uApQV https://t.co/vkOX6goqf3,,False,Wed Oct 02 01:50:06 +0000 2019,12,1179211926494167040
413,SocialFlow,"Jane Fonda on President Donald Trump: ""I don't hate him. I feel sad for him"" https://t.co/zSMp3Zt6s8 https://t.co/YGFF5nK6TL",,False,Sat Nov 23 20:36:06 +0000 2019,87,1198339462234853376
25,SocialFlow,The latest on the Trump impeachment inquiry https://t.co/gS71xNMyjm https://t.co/1I7gRRFwus,,False,Mon Nov 18 13:43:04 +0000 2019,17,1196423579803500544
20,SocialFlow,US formally pulls Turkey's Patriot missile system offer https://t.co/kxlAayFGJh https://t.co/UN3UIS7LY3,,False,Fri Aug 23 05:30:07 +0000 2019,24,1164771781153980417
30,SocialFlow,US announces visa restrictions on Chinese officials for Xinjiang abuses https://t.co/JO6Xhp4ncj https://t.co/OqPswclROM,,False,Tue Oct 08 23:13:04 +0000 2019,17,1181709124108783619
101,SocialFlow,Mexico exploring legal action against the US following El Paso shooting https://t.co/X6zcgtRN6r https://t.co/mBltxBL52e,,False,Mon Aug 05 20:16:03 +0000 2019,30,1158471752231608321
24,SocialFlow,How the Koch brothers fundamentally changed modern politics | Analysis by CNN's Chris Cillizza… https://t.co/W7FwWSqZNn,,False,Sun Aug 25 04:31:05 +0000 2019,8,1165481698668228608
78,SocialFlow,Joe Walsh says George Conway is informally advising him on 2020 GOP campaign https://t.co/7oaO0rYw8P https://t.co/7qWmNqZeh4,,False,Sat Sep 07 21:02:08 +0000 2019,25,1170442147021099013
201,SocialFlow,Beto O'Rourke calls for licensing in plan to curb gun violence and white nationalism https://t.co/qvPNOreM4M https://t.co/w2NUWyUxT9,,False,Fri Aug 16 11:44:01 +0000 2019,60,1162329160385257472
45,TweetDeck,"Bernie Sanders suffered a heart attack, his campaign confirmed on Friday https://t.co/Fd2xkfy5pH https://t.co/E18EnGts0c",CNNPolitics,False,Fri Oct 04 22:49:41 +0000 2019,20,1180253685378617344
245,SocialFlow,Beto O'Rourke rolls out new plan to protect workers' rights https://t.co/yaMjKKukBr https://t.co/N5maqHB0sZ,,False,Thu Aug 22 14:42:08 +0000 2019,104,1164548313921839104
